テーブル名,インデックス名,インデックス種別,対象列,用途
mst_vending_machine,idx_mst_vending_machine_installation_date,単一列,installation_date,設置日による検索用
mst_vending_machine,idx_mst_vending_machine_location,単一列,location_name,設置場所による検索用（部分一致対応）
mst_product,idx_mst_product_category,単一列,product_category_id,カテゴリによる商品検索用
mst_product,idx_mst_product_name,単一列,product_name,商品名による検索用
mst_product,idx_mst_product_price,単一列,price,価格帯による検索用
fact_sales,idx_fact_sales_purchase_datetime,単一列,purchase_datetime,購入日時による時系列検索用（最も重要）
fact_sales,idx_fact_sales_vending_machine,単一列,vending_machine_id,自動販売機別売上集計用
fact_sales,idx_fact_sales_product,単一列,product_id,商品別売上集計用
fact_sales,idx_fact_sales_payment_method,単一列,payment_method_id,決済方法別売上集計用
fact_sales,idx_fact_sales_date_vm,複合,purchase_datetime + vending_machine_id,日付×自動販売機の複合検索用
fact_sales,idx_fact_sales_vm_product,複合,vending_machine_id + product_id,自動販売機×商品の複合検索用
fact_replenishment,idx_fact_replenishment_datetime,単一列,replenishment_datetime,補充日時による時系列検索用
fact_replenishment,idx_fact_replenishment_vending_machine,単一列,vending_machine_id,自動販売機別補充履歴検索用
fact_replenishment,idx_fact_replenishment_product,単一列,product_id,商品別補充履歴検索用
fact_replenishment,idx_fact_replenishment_staff,単一列,staff_id,担当者別作業履歴検索用
fact_replenishment,idx_fact_replenishment_date_vm,複合,replenishment_datetime + vending_machine_id,日付×自動販売機の複合検索用
